Protein.Id,Gene.Symbol,Description,Group ID,Number.of.peptides,Collapsed?,temp_01,temp_02,temp_03,temp_04,temp_05,temp_06,temp_07,temp_08,temp_09,temp_10
##tr|H0YEZ9|H0YEZ9_HUMAN,##UBQLN1,##H0YEZ9_HUMAN ##Ubiquilin-1 (Fragment),5108,1,C,100.966,79.6137,73.5824,62.3864,39.8173,37.8644,19.4079,11.0957,5.93923,3.76642
##tr|Q9NSI0|Q9NSI0_HUMAN,##PRED58,##Q9NSI0_HUMAN ##PRED58 protein (Fragment),4545,1,C,232.932,187.576,218.361,184.755,204.033,164.645,167.98,85.3912,46.1227,16.7708
sp|A0AVF1|TTC26_HUMAN,TTC26,TTC26_HUMAN Tetratricopeptide repeat protein 26,346,3,C,260.688,248.592,229.031,192.592,142.075,92.2599,48.6308,24.244,19.576,14.9578
sp|A0AVT1|UBA6_HUMAN,UBA6,UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6,2193,20,C,3991.5,4347.52,3164.04,3218.68,1983.78,1456.7,751.049,450.901,274.685,205.034
sp|A0FGR8-6|ESYT2_HUMAN,ESYT2,ESYT2_HUMAN Isoform 6 of Extended synaptotagmin-2,1276,2,C,111.747,100.255,102.362,103.86,82.3844,60.4848,37.5953,15.8731,13.677,10.9679
sp|A0JNW5|UH1BL_HUMAN,UHRF1BP1L,UH1BL_HUMAN UHRF1-binding protein 1-like,2991,5,C,355.657,328.055,300.134,310.187,265.895,220.281,159.199,112.527,77.3855,63.4296
sp|A0MZ66|SHOT1_HUMAN,KIAA1598,SHOT1_HUMAN Shootin-1,723,11,C,1099.78,988.15,830.153,783.111,659.262,508.398,327.173,216.73,141.206,112.949
sp|A1A4S6|RHG10_HUMAN,ARHGAP10,RHG10_HUMAN Rho GTPase-activating protein 10,3973,1,C,77.8846,64.5239,64.2397,64.0211,33.1622,17.5393,6.06719,4.89912,0,0
sp|A1IGU5|ARH37_HUMAN,ARHGEF37,ARH37_HUMAN Rho guanine nucleotide exchange factor 37,2180,1,C,69.0544,66.5533,64.9283,49.6803,36.5005,28.6732,13.5253,5.54395,3.89832,4.50096
sp|A1L020|MEX3A_HUMAN,MEX3A,MEX3A_HUMAN RNA-binding protein MEX3A,4209,3,C,274.73,256.827,213.848,171.035,130.579,86.7011,54.543,47.5295,39.9631,28.5626
sp|A1L0T0|ILVBL_HUMAN,ILVBL,ILVBL_HUMAN Acetolactate synthase-like protein,373,2,C,125.743,133.827,94.4691,123.601,87.6376,71.6611,44.3859,28.1367,22.7072,16.2771
sp|A1L390|PKHG3_HUMAN,PLEKHG3,PKHG3_HUMAN Pleckstrin homology domain-containing family G member 3,3811,1,C,228.585,196.001,162.444,167.338,118.292,88.8066,45.2554,28.2538,21.1712,11.7116
sp|A1X283|SPD2B_HUMAN,SH3PXD2B,SPD2B_HUMAN SH3 and PX domain-containing protein 2B,1407,15,C,1934.08,1764.13,1542.28,1301.73,949.838,659.347,390.971,249.072,163.233,128.592
sp|A2RRP1|NBAS_HUMAN,NBAS,NBAS_HUMAN Neuroblastoma-amplified sequence,913,5,C,529.438,490.378,470.609,384.31,263.912,166.149,78.1391,44.6831,34.1279,15.3515
sp|A2RTX5|SYTC2_HUMAN,TARSL2,"SYTC2_HUMAN Probable threonine--tRNA ligase 2, cytoplasmic",664,3,C,264.833,265.395,241.06,216.011,155.505,113.528,57.2568,35.9876,19.0588,14.1868
sp|A3KMH1|VWA8_HUMAN,VWA8,VWA8_HUMAN von Willebrand factor A domain-containing protein 8,3982,3,C,292.627,276.026,240.553,207.313,132.088,87.7177,43.4732,22.694,14.0782,13.962
sp|A3KN83|SBNO1_HUMAN,SBNO1,SBNO1_HUMAN Protein strawberry notch homolog 1,3146,4,C,330.61,299.449,276.643,220.897,157.771,109.265,64.3407,40.6447,26.6555,22.1655
sp|A4D126|ISPD_HUMAN,ISPD,ISPD_HUMAN Isoprenoid synthase domain-containing protein,4709,2,C,132.531,129.298,99.0002,107.684,80.6881,73.7798,49.9965,29.9949,25.002,27.0654
sp|A4D1E9|GTPBA_HUMAN,GTPBP10,GTPBA_HUMAN GTP-binding protein 10,4623,1,C,336.097,305.253,251.821,200.001,137.523,76.4035,32.6663,12.5712,6.70246,5.16636
sp|A4D1P6|WDR91_HUMAN,WDR91,WDR91_HUMAN WD repeat-containing protein 91,3377,4,C,798.454,737.149,652.415,615.945,469.883,379.73,238.934,202.89,186.542,170.8
sp|A5PLN9-5|TPC13_HUMAN,TRAPPC13,TPC13_HUMAN Isoform 4 of Trafficking protein particle complex subunit 13,490,2,C,133.514,124.305,109.687,106.606,79.5855,60.8076,31.7638,23.0701,18.9333,13.4302
sp|A5YKK6|CNOT1_HUMAN,CNOT1,CNOT1_HUMAN CCR4-NOT transcription complex subunit 1,1700,27,C,2604.42,2434.08,2195.48,1877.41,1362.78,838.233,413.898,231.863,142.078,96.2251
sp|A6H8Y1|BDP1_HUMAN,BDP1,BDP1_HUMAN Transcription factor TFIIIB component B'' homolog,5139,2,C,59.7649,72.1429,49.1062,57.3974,46.465,35.0534,28.1505,28.3039,19.9247,22.4466
sp|A6NCE7|MP3B2_HUMAN,MAP1LC3B2,MP3B2_HUMAN Microtubule-associated proteins 1A/1B light chain 3 beta 2,4049,3,C,186.273,174.42,141.666,132.269,120.132,128.596,104.756,91.9851,70.265,68.3576
sp|A6NDB9|PALM3_HUMAN,PALM3,PALM3_HUMAN Paralemmin-3,4252,1,C,40.0672,42.2793,27.6991,35.5746,25.0209,29.0484,20.24,15.2823,16.5306,16.7394
sp|A6NDG6|PGP_HUMAN,PGP,PGP_HUMAN Phosphoglycolate phosphatase,2118,2,C,110.518,115.943,83.9685,105.541,86.5161,92.4545,45.5131,17.3832,2.03525,2.23126
sp|A6NDU8|CE051_HUMAN,C5orf51,CE051_HUMAN UPF0600 protein C5orf51,3689,2,C,643.328,617.51,529.388,468.631,332.081,186.123,85.4482,46.4327,20.8036,13.592
sp|A6NFI3|ZN316_HUMAN,ZNF316,ZN316_HUMAN Zinc finger protein 316,3107,3,C,174.101,183.648,126.205,139.853,100.384,72.3918,37.3009,22.006,17.1629,11.4971
sp|A6NGB9|WIPF3_HUMAN,WIPF3,WIPF3_HUMAN WAS/WASL-interacting protein family member 3,5217,2,C,63.3178,67.9933,57.0437,54.9906,57.2067,46.6445,43.4554,34.1956,32.5187,31.6534
sp|A6NHL2|TBAL3_HUMAN,TUBAL3,TBAL3_HUMAN Tubulin alpha chain-like 3,868,1,C,46.9594,54.3632,32.985,35.7014,28.1606,27.2182,14.7313,6.1484,7.95281,4.14222
sp|A6NHQ2|FBLL1_HUMAN,FBLL1,FBLL1_HUMAN rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1,1584,3,C,453.788,434.51,386.759,297.558,204.831,124.665,57.8194,30.7853,17.41,14.2492
sp|A6NHR9|SMHD1_HUMAN,SMCHD1,SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1,1097,14,C,2397.2,2300.15,1654.44,1402.23,898.582,568.978,247.64,126.643,99.727,64.8089
sp|A6NHX0|GATL2_HUMAN,GATSL2,GATL2_HUMAN GATS-like protein 2,3804,4,C,267.549,251.01,220.031,213.88,214.778,203.956,164.31,143.382,98.7867,64.3226
sp|A6NIH7|U119B_HUMAN,UNC119B,U119B_HUMAN Protein unc-119 homolog B,5,3,C,282.333,233.284,226.665,185.501,163.781,102.924,49.4029,28.1885,22.5258,11.1856
sp|A6NIZ1|RP1BL_HUMAN,,RP1BL_HUMAN Ras-related protein Rap-1b-like protein,3757,2,C,168.488,153.692,124.225,114.698,86.7302,59.6637,32.0022,15.4141,10.719,6.56211
sp|A6NKD9|CC85C_HUMAN,CCDC85C,CC85C_HUMAN Coiled-coil domain-containing protein 85C,4899,2,C,264.003,239.727,198.718,194.564,163.321,151.06,121.464,100.879,83.6881,75.2623
sp|A6NKF1|SAC31_HUMAN,SAC3D1,SAC31_HUMAN SAC3 domain-containing protein 1,4356,1,C,48.3202,45.5026,37.9668,34.8038,26.9184,17.374,9.57241,4.19208,4.21088,3.51518
sp|A6NKG5|RTL1_HUMAN,RTL1,RTL1_HUMAN Retrotransposon-like protein 1,143,35,C,4029.28,3756.25,3328.84,2636.19,1809.54,1081,505.975,281.674,186.374,117.746
sp|A7E2V4-2|ZSWM8_HUMAN,ZSWIM8,ZSWM8_HUMAN Isoform 2 of Zinc finger SWIM domain-containing protein 8,615,2,C,169.386,178.01,155.606,135.289,59.1619,39.0836,14.8665,4.64186,4.35818,14.0715
sp|A7KAX9|RHG32_HUMAN,ARHGAP32,RHG32_HUMAN Rho GTPase-activating protein 32,4091,1,C,96.3387,89.5094,87.5289,83.5939,56.1431,64.836,40.6251,23.2616,27.029,17.5801
sp|A8K855|EFCB7_HUMAN,EFCAB7,EFCB7_HUMAN EF-hand calcium-binding domain-containing protein 7,2487,1,C,61.4223,53.0402,40.0542,39.6129,30.3434,30.9318,13.1607,10.4038,3.83978,7.72961
sp|A8MW92|P20L1_HUMAN,PHF20L1,P20L1_HUMAN PHD finger protein 20-like protein 1,3,2,C,327.54,196.092,264.37,167.461,169.553,91.2013,61.8119,26.6337,17.1461,12.3889
sp|A8MWD9|RUXGL_HUMAN,,RUXGL_HUMAN Small nuclear ribonucleoprotein G-like protein,1082,6,C,1056.06,1055.77,944.482,1017.22,853.417,844.344,622.238,567.873,417.414,418.682
sp|A8MWY0|K132L_HUMAN,KIAA1324L,K132L_HUMAN UPF0577 protein KIAA1324-like,5402,1,C,54.2958,58.1603,62.1997,61.1099,34.1406,31.0098,17.2575,14.3411,7.77844,7.00912
sp|A8MXV4|NUD19_HUMAN,NUDT19,"NUD19_HUMAN Nucleoside diphosphate-linked moiety X motif 19, mitochondrial",3190,2,C,141.829,136.318,121.584,103.753,83.4604,63.0367,21.085,10.8136,2.73695,4.66628
sp|A9UHW6-3|MI4GD_HUMAN,MIF4GD,MI4GD_HUMAN Isoform 3 of MIF4G domain-containing protein,2902,1,C,132.163,127.556,106.041,99.2055,83.751,73.4214,38.3099,14.3169,6.74233,7.13451
sp|B2RTY4-4|MYO9A_HUMAN,MYO9A,MYO9A_HUMAN Isoform 4 of Unconventional myosin-IXa,1819,1,C,116.735,107.488,92.196,86.4952,63.6595,34.2715,17.3782,7.80159,0,2.95481
sp|C9JH25|PRRT4_HUMAN,PRRT4,PRRT4_HUMAN Proline-rich transmembrane protein 4,893,1,C,39.0318,31.8842,52.8287,52.181,34.9003,30.3387,12.0846,7.46095,9.00286,5.80144
sp|C9JLW8|F195B_HUMAN,FAM195B,F195B_HUMAN Protein FAM195B,4333,4,C,541.998,497.428,464.021,426.616,408.021,349.591,314.729,314.683,275.933,268.338
sp|E7EML9|PRS44_HUMAN,PRSS44,PRS44_HUMAN Serine protease 44,5653,1,C,52.6619,42.0654,39.9015,39.1223,34.0387,36.2865,26.3606,22.402,20.8597,22.0418
sp|O00115|DNS2A_HUMAN,DNASE2,DNS2A_HUMAN Deoxyribonuclease-2-alpha,836,1,C,157.362,145.539,128.761,112.97,120.348,108.795,104.821,91.1158,92.3753,102.706
sp|O00116|ADAS_HUMAN,AGPS,"ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal",310,1,C,64.6098,52.5926,50.5552,43.82,35.3313,17.2986,8.70224,2.35529,0,2.47062
